iter	Passed	Remaining
709	73481	30013
710	73554	29897
711	73621	29779
712	73683	29659
713	73770	29549
714	73842	29433
715	73926	29322
716	74014	29213
717	74111	29108
718	74232	29011
719	74309	28898
720	74400	28790
721	74468	28673
722	74566	28568
723	74642	28455
724	74735	28347
725	74817	28236
726	74898	28125
727	75007	28024
728	75084	27912
729	75204	27815
730	75283	27703
731	75384	27599
732	75502	27502
733	75617	27403
734	75719	27300
735	75826	27198
736	75924	27093
737	76008	26983
738	76147	26893
739	76249	26790
740	76361	26690
741	76478	26592
742	76617	26501
743	76735	26403
744	76838	26300
745	76921	26190
746	76983	26073
747	77066	25963
748	77185	25865
749	77262	25754
750	77343	25643
751	77415	25530
752	77495	25420
753	77627	25326
754	77731	25224
755	77814	25114
756	77917	25011
757	77972	24893
758	78023	24774
759	78074	24655
760	78199	24559
761	78268	24446
762	78345	24335
763	78422	24224
764	78472	24106
765	78521	23986
766	78618	23882
767	78722	23780
768	78818	23676
769	78870	23558
770	78966	23454
771	79015	23336
772	79109	23231
773	7920774	7926774	79336	23033
775	79410	22922
776	79527	22824
777	7964778	7975778	7975779	7991779	7985780	80027	22440
781	8012781	8007782	8021782	8018783	80329	22131
784	80465	22038
785	80543	21929
786	80618	21819
787	80748	21724
788	80894	21633
789	80944	21516
790	81024	21408
791	81116	21303
792	81209	21198
793	81301	21093
794	81390	20987
795	81516	20891
796	81689	20806
797	81851	20719
798	81980	20623
799	82053	20513
800	82106	20398
801	82144	20279
802	8223802	8217803	82327	20069
804	8238804	8237805	8246805	82482	19853
806	82598	19753
807	82766	19667
808	82863	19563
809	82947	19456
810	83057	19356
811	83181	19258
812	83289	19157
813	83381	19052
814	83482	18949
815	83571	18844
816	83642	18735
817	83764	18637
818	83907	18543
819	84029	18445
820	84146	18346
821	84240	18241
822	84354	18141
823	84493	18047
824	84595	17944
825	84671	17836
826	84720	17722
827	84779	17611
828	84803	17492
829	84851	17379
830	84903	17266
831	85003	17164
832	85067	17054
833	85166	16951
834	85229	16841
835	85319	16737
836	85475	16645
837	85561	16540
838	85655	16436
839	85754	16334
840	85867	16234
841	86002	16138
842	86118	16038
843	86196	15931
844	86270	15824
845	86372	15722
846	86478	15621
847	86621	15526
848	86774	15433
849	86881	15332
850	87048	15241
851	87216	15150
852	87363	15055
853	87465	14953
854	87597	14855
855	87674	14749
856	87754	14642
857	87853	14539
858	87952	14436
859	88084	14339
860	88204	14239
861	88281	14133
862	88332	14022
863	88450	13922
864	88573	13823
865	88703	13725
866	88807	13623
867	88924	13523
868	88986	13414
869	89099	13313
870	89181	13208
871	89261	13102
872	89360	12999
873	89445	12894
874	89533	12790
875	89588	12681
876	89662	12575
877	89725	12467
878	89788	12359
879	89828	12249
880	89911	12144
881	89992	12039
882	90083	11936
883	90177	11833
884	90258	11728
885	90372	11628
886	90474	11526
887	90590	11425
888	90674	11321
889	90849	11228
890	90923	11123
891	91020	11020
892	91075	10912
893	91180	10811
894	91296	10710
895	91353	106897896	91417	104898897	91507	103899898	91602	102900899	91707	101901900	91823	10902	901	91920	9903	902	91996	9904	903	92109	9905	904	92196	9906	92263	9460
907	92361	9358
908	92452	9255
909	908	92569	9910	92689	9055
911	92820	8956
912	92930	8855
913	912	93031	8865
913	93169	8766
914	93274	8664
915	93386	8563
916	93464	8459
917	93565	8357
918	93668	8255
919	93764	8153
920	93843	8049
921	93905	7944
922	94017	7843
923	94148	7743
924	94244	7641
925	94370	7541
926	94576	7447
927	94673	7345
928	94774	7243
929	94901	7143
930	95005	7041
931	95100	6938
932	95220	6837
933	95323	6735
934	95435	6634
935	95521	6531
936	95620	6429
937	95745	6328
938	95871	6228
939	96002	6127
940	96131	6027
941	96233	5925
942	96324	5822
943	96414	5719
944	96536	5618
945	96649	5516
946	96750	5414
947	96819	5310
948	96898	5207
949	96962	5103
950	97042	5000
951	97155	4898
952	97266	4796
953	97392	4696
954	97464	4592
955	97540	4489
956	97645	4387
957	97746	4285
958	97854	4183
959	97936	4080
960	98047	3979
961	98152	3877
962	98262	3775
963	98357	3673
964	98470	3571
965	98560	3469
966	98651	3366
967	98736	3264
968	98812	3161
969	98882	3058
970	98997	2956
971	99112	2855
972	99189	2752
973	99287	2650
974	99361	2547
975	99453	2445
976	99527	2343
977	99610	2240
978	99675	2138
979	99762	2035
980	99828	1933
981	99912	1831
982	100009	1729
983	100131	1628
984	100198	1525
985	100291	1424
986	100379	1322
987	100453	1220
988	100505	1117
989	100567	1015
990	100654	914
991	100714	812
992	100741	710
993	100764	608
994	100790	506
995	100807	404
996	100828	303
997	100855	202
998	100883	100
999	100913	0
